Item#	Date_IV	Obs#	Port#	Exp_Flux	File Name	Exp_Flux[2]	
* 1	2020-09-16 15:52:27	1		4.12379	7	-0.542754	
* 2	2020-09-16 15:53:52	2		3.38261	7	-0.539959	
* 3	2020-09-16 15:55:51	1		5.71999	6	-0.86096	
* 4	2020-09-16 15:57:16	2		4.77653	6	-0.744873	
* 5	2020-09-16 15:59:14	1		4.63399	8	-1.44236	
* 6	2020-09-16 16:00:39	2		4.39558	8	-1.33937	
* 7	2020-09-16 16:02:35	1		8.90738	5	-1.75189	
* 8	2020-09-16 16:04:00	2		0	5	0	
* 9	2020-09-16 16:06:13	1		4.40495	4	-0.960109	
* 10	2020-09-16 16:07:39	2		4.12039	4	-0.868551	
* 11	2020-09-16 16:09:30	1		9.47756	2	-1.11659	
* 12	2020-09-16 16:10:56	2		6.9941	2	-1.04465	
* 13	2020-09-16 16:13:03	1		5.29579	3	-0.585128	
* 14	2020-09-16 16:14:28	2		4.41377	3	-0.554302	
* 15	2020-09-16 16:16:19	1		5.96224	1	-1.82577	
* 16	2020-09-16 16:17:45	2		6.05981	1	-1.06191	
* 17	2020-09-16 16:20:17	1		2.10198	11	-0.0901446	
* 18	2020-09-16 16:21:42	2		1.91349	11	-0.0585796	
* 19	2020-09-16 16:23:47	1		3.88376	12	-0.149822	
* 20	2020-09-16 16:25:12	2		3.39237	12	-0.0721608	
* 21	2020-09-16 16:27:10	1		7.46118	9	-0.894772	
* 22	2020-09-16 16:28:35	2		6.52365	9	-0.778991	
* 23	2020-09-16 16:30:26	1		3.80247	10	-0.249641	
* 24	2020-09-16 16:31:52	2		3.71088	10	-0.656578	
* 25	2020-09-16 16:34:58	1		15.0588	13	-1.98529	
* 26	2020-09-16 16:36:24	2		8.68296	13	-1.49679	
* 27	2020-09-16 16:38:17	1		11.9204	14	-0.596967	
* 28	2020-09-16 16:39:42	2		8.9394	14	-0.502636	
* 29	2020-09-16 16:41:41	1		3.86206	15	-0.641416	
* 30	2020-09-16 16:43:06	2		3.85094	15	-0.622237	
* 31	2020-09-16 16:44:59	1		4.73625	16	-0.0628335	
* 32	2020-09-16 16:46:25	2		4.18325	16	-0.0855846	
* 33	2020-09-16 16:50:25	1		7.71218	17	-1.20294	
* 34	2020-09-16 16:51:50	2		7.53772	17	-1.14195	
* 35	2020-09-16 16:53:51	1		5.70965	18	-0.438662	
* 36	2020-09-16 16:55:16	2		5.30775	18	-0.474207	
* 37	2020-09-16 16:57:09	1		6.53839	20	-0.414161	
* 38	2020-09-16 16:58:35	2		5.1794	20	-0.4061	
* 39	2020-09-16 17:00:22	1		2.45107	19	-0.0175719	
* 40	2020-09-16 17:01:47	2		2.30235	19	-0.0757028	
* 41	2020-09-16 17:03:52	1		7.14591	21	-1.34654	
* 42	2020-09-16 17:05:17	2		5.88366	21	-1.30095	
* 43	2020-09-16 17:07:07	1		2.59833	24	-0.285987	
* 44	2020-09-16 17:08:32	2		2.72418	24	-0.248535	
* 45	2020-09-16 17:10:24	1		3.46426	23	-0.313453	
* 46	2020-09-16 17:11:49	2		3.94846	23	-0.190565	
* 47	2020-09-16 17:13:37	1		5.05557	22	-0.230667	
* 48	2020-09-16 17:15:02	2		5.01232	22	-0.247084	
* 49	2020-09-16 17:17:00	1		5.90095	25	-0.706358	
* 50	2020-09-16 17:18:25	2		5.16357	25	-0.622166	
* 51	2020-09-16 17:20:32	1		3.99686	28	-3.93442	
* 52	2020-09-16 17:21:57	2		3.34778	28	-0.133744	
* 53	2020-09-16 17:23:51	1		3.2901	26	50.0886	
* 54	2020-09-16 17:25:17	2		3.93552	26	-0.278138	
* 55	2020-09-16 17:27:13	1		3.14319	27	-0.0726319	
* 56	2020-09-16 17:28:38	2		3.13467	27	-22.6923	
* 57	2020-09-16 17:30:38	1		3.94332	30	-0.311011	
* 58	2020-09-16 17:32:04	2		0	30	0	
* 59	2020-09-16 17:33:56	1		6.67344	29	-0.435161	
* 60	2020-09-16 17:35:22	2		6.33178	29	-6.82621	
* 61	2020-09-16 17:37:19	1		2.02591	31	-0.150238	
* 62	2020-09-16 17:38:45	2		1.66047	31	-0.0623184	
