Item#	Date_IV	Obs#	Port#	Exp_Flux	File Name	Exp_Flux[2]	
* 1	2020-10-28 13:11:30	1		3.6772	47	-0.129028	
* 2	2020-10-28 13:12:56	2		3.1146	47	-0.119646	
* 3	2020-10-28 13:15:17	1		4.89566	48	-0.149908	
* 4	2020-10-28 13:16:43	2		3.31175	48	-0.113006	
* 5	2020-10-28 13:18:51	1		2.59076	46	-0.0811252	
* 6	2020-10-28 13:20:16	2		2.52204	46	-0.119533	
* 7	2020-10-28 13:23:04	1		6.84524	45	-0.117845	
* 8	2020-10-28 13:24:29	2		3.95984	45	-0.0850364	
* 9	2020-10-28 13:26:53	1		16.2688	42	-0.323398	
* 10	2020-10-28 13:28:18	2		5.54727	42	-0.304289	
* 11	2020-10-28 13:30:22	1		4.64489	41	-0.309903	
* 12	2020-10-28 13:31:48	2		3.99534	41	-0.307597	
* 13	2020-10-28 13:34:22	1		8.64189	44	-1.62617	
* 14	2020-10-28 13:35:48	2		3.91683	44	-0.163731	
* 15	2020-10-28 13:37:45	1		73.7241	43	-0.0442471	
* 16	2020-10-28 13:39:11	2		2.70346	43	-0.139915	
* 17	2020-10-28 13:41:30	1		6.6169	38	-0.172114	
* 18	2020-10-28 13:42:56	2		0	38	0	
* 19	2020-10-28 13:45:19	1		4.27432	40	-0.172676	
* 20	2020-10-28 13:46:46	2		3.79744	40	-0.156827	
* 21	2020-10-28 13:48:56	1		5.04131	39	-0.0833167	
* 22	2020-10-28 13:50:21	2		3.38192	39	-0.082235	
* 23	2020-10-28 13:52:15	1		10.6872	37	-0.789883	
* 24	2020-10-28 13:53:41	2		4.94758	37	-0.179112	
* 25	2020-10-28 13:56:00	1		10.7011	33	-0.295889	
* 26	2020-10-28 13:57:25	2		5.03947	33	-0.36256	
* 27	2020-10-28 13:59:39	1		7.82049	35	-0.0484799	
* 28	2020-10-28 14:01:05	2		3.65803	35	-0.0329724	
* 29	2020-10-28 14:03:20	1		10.157	34	-0.351553	
* 30	2020-10-28 14:04:46	2		6.54548	34	-0.108516	
* 31	2020-10-28 14:07:41	1		4.98684	36	-0.11465	
* 32	2020-10-28 14:09:06	2		2.52142	36	-0.134021	
* 33	2020-10-28 14:12:44	1		5.3811	32	-0.369133	
* 34	2020-10-28 14:14:09	2		3.98843	32	-0.0797695	
* 35	2020-10-28 14:16:47	1		4.96036	31	-0.137653	
* 36	2020-10-28 14:18:13	2		3.0214	31	-0.0719886	
* 37	2020-10-28 14:20:39	1		11.1393	29	-0.135427	
* 38	2020-10-28 14:22:05	2		4.96211	29	-0.143157	
* 39	2020-10-28 14:24:33	1		9.17779	30	-0.148139	
* 40	2020-10-28 14:26:00	2		4.7134	30	-0.25144	
* 41	2020-10-28 14:28:37	1		7.98628	27	-0.142989	
* 42	2020-10-28 14:30:03	2		2.84537	27	-0.0807975	
* 43	2020-10-28 14:32:30	1		12.3994	25	-4.51938	
* 44	2020-10-28 14:33:56	2		5.78257	25	-2.86655	
* 45	2020-10-28 14:36:19	1		9.99744	26	-0.11581	
* 46	2020-10-28 14:37:45	2		4.50044	26	-0.0620775	
* 47	2020-10-28 14:39:32	1		5.59828	28	-2.19737	
* 48	2020-10-28 14:40:58	2		4.27851	28	5.61124	
* 49	2020-10-28 14:44:00	1		22.4061	22	-0.963675	
* 50	2020-10-28 14:45:26	2		5.33513	22	-0.156829	
* 51	2020-10-28 14:47:30	1		8.27746	23	-0.211828	
* 52	2020-10-28 14:48:56	2		0	23	0	
* 53	2020-10-28 14:51:21	1		19.4367	21	-4.6185	
* 54	2020-10-28 14:52:47	2		6.70346	21	-0.56423	
* 55	2020-10-28 14:55:20	1		8.14125	24	-0.180054	
* 56	2020-10-28 14:56:46	2		3.79115	24	-0.745447	
* 57	2020-10-28 15:01:35	1		8.5378	18	-0.442125	
* 58	2020-10-28 15:03:00	2		5.28877	18	-0.426148	
* 59	2020-10-28 15:05:11	1		15.1982	17	-0.832149	
* 60	2020-10-28 15:06:36	2		7.93433	17	-0.556679	
* 61	2020-10-28 15:09:02	1		6.1943	19	-0.384636	
* 62	2020-10-28 15:10:28	2		3.1124	19	-0.116832	
* 63	2020-10-28 15:12:28	1		9.18464	20	-8.71032	
* 64	2020-10-28 15:13:55	2		5.66633	20	0.326115	
* 65	2020-10-28 15:18:40	1		4.21022	16	-0.216137	
* 66	2020-10-28 15:20:05	2		3.21624	16	-0.149939	
* 67	2020-10-28 15:22:12	1		3.87448	16a	-0.105089	
* 68	2020-10-28 15:23:38	2		3.00617	16a	-0.0933822	
* 69	2020-10-28 15:25:59	1		4.57208	15	-0.37347	
* 70	2020-10-28 15:27:25	2		3.10987	15	-0.324263	
* 71	2020-10-28 15:30:05	1		7.10562	14	-0.551124	
* 72	2020-10-28 15:31:31	2		4.81341	14	-0.439532	
* 73	2020-10-28 15:34:04	1		8.10481	13	-0.981128	
* 74	2020-10-28 15:35:31	2		7.80514	13	-0.766156	
* 75	2020-10-28 15:38:20	1		4.54408	10	-0.130091	
* 76	2020-10-28 15:39:45	2		2.64039	10	-0.129467	
* 77	2020-10-28 15:41:52	1		0	12	0	
* 78	2020-10-28 15:43:18	2		4.71505	12	-0.111944	
* 79	2020-10-28 15:45:43	1		11.1195	9	-0.798097	
* 80	2020-10-28 15:47:09	2		6.64994	9	-0.298491	
* 81	2020-10-28 15:49:25	1		5.5906	11	15.9588	
* 82	2020-10-28 15:50:50	2		2.20559	11	-0.0471101	
* 83	2020-10-28 15:53:30	1		8.25085	5	-1.06844	
* 84	2020-10-28 15:54:56	2		5.6711	5	-0.935693	
* 85	2020-10-28 15:57:52	1		5.06171	8	-1.14818	
* 86	2020-10-28 15:59:17	2		5.01017	8	-1.09649	
* 87	2020-10-28 16:01:46	1		6.20037	7	-0.616822	
* 88	2020-10-28 16:03:12	2		4.15552	7	-0.568116	
* 89	2020-10-28 16:05:12	1		5.80302	6	-0.437809	
* 90	2020-10-28 16:06:38	2		0	6	0	
* 91	2020-10-28 16:08:57	1		5.53731	4	-0.558533	
* 92	2020-10-28 16:10:23	2		3.35353	4	-0.53977	
* 93	2020-10-28 16:13:18	1		11.1492	1	-1.01665	
* 94	2020-10-28 16:14:45	2		7.36682	1	-0.836134	
* 95	2020-10-28 16:17:12	1		11.3524	3	-0.276383	
* 96	2020-10-28 16:18:38	2		3.55567	3	-0.250125	
* 97	2020-10-28 16:20:47	1		9.71077	2	-0.494297	
* 98	2020-10-28 16:22:13	2		0	2	0	
